"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00051","mmu00051","Fructose and mannose metabolism","30/5355","36/9045",0.00177425768271471,0.00346502088624284,0.00125241718779862,"230163/56421/15277/11677/18641/14120/29858/22122/54128/21991/18639/270198/18640/170768/20322/16548/14187/11674/110119/69080/18642/234730/225913/15275/319801/218138/75540/353204/67861/331026",30
"mmu04380","mmu04380","Osteoclast differentiation","92/5355","128/9045",0.00185427273356512,0.00360010846516737,0.00130124402355447,"13038/14281/14130/16177/16476/19016/26420/11433/11651/19353/20375/16391/21803/26400/19698/11652/16151/14389/26395/13057/21812/14200/12977/68652/18412/17969/23797/14360/15979/26399/16416/53859/18035/20963/19056/26419/19057/66513/29857/15980/15975/15976/83433/12978/14283/19697/12675/18034/12912/20846/21934/17970/22030/22034/18019/18706/19055/18033/26409/16451/18710/14284/21682/21937/22177/16150/18709/54721/21813/74769/18018/19058/234779/17342/74256/19261/21808/18707/20847/18708/16477/12702/19094/26416/18733/14131/14784/17060/26417/26413/16478/14728",92
"mmu00532","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","19/5355","21/9045",0.00189079405509503,0.00364967224588111,0.00131915864308956,"217119/218271/233781/77590/269941/74241/58250/234356/59031/60322/100910/319901/212898/78752/338362/117592/53374/72727/72136",19
"mmu05203","mmu05203","Viral carcinogenesis","157/5355","229/9045",0.00194785984004921,0.00373808940402507,0.00135111665205725,"12266/54123/26427/12445/227753/15007/16476/12444/18519/13205/15451/56463/14885/19353/16391/20259/12576/54131/12028/20848/20850/83945/16151/79221/18749/18747/19385/14884/12540/12567/11848/15184/22335/234729/11972/21374/109711/12915/20807/14991/17164/68024/54401/22629/15182/17246/19696/22627/14534/20851/83602/18035/66354/19179/22031/20963/15387/23894/16195/19645/22631/56233/12914/105782/252870/13383/74197/12575/19106/66973/15183/13194/19697/12015/18034/22215/12566/15461/12912/12370/20684/208727/22033/22030/11909/19650/20779/18706/12428/18176/18033/12448/229906/12913/16451/18710/433759/209357/19303/17120/16653/17000/15185/18970/68153/12367/19651/16453/18709/71609/18746/114713/74769/235459/232232/15015/13654/208647/19664/18707/12571/18708/17096/11911/12578/319179/22628/231991/15042/27401/60595/328572/15039/12018/22059/14784/15018/319158/69386/14972/319184/170787/26417/26413/107932/69116/15040/70315/319190/12443/237336/110557/14964/12579/22630/15024/319182",157
"mmu00630","mmu00630","Glyoxylate and dicarboxylate metabolism","27/5355","32/9045",0.00211126696053645,0.00400537503370344,0.00144772591579642,"68738/12974/68180/71562/17448/235582/17449/20425/13382/11429/110460/17850/67432/108037/14645/12359/60525/11428/110446/66904/434437/73724/68133/76238/110821/67078/224530",27
"mmu04215","mmu04215","Apoptosis - multiple species","27/5355","32/9045",0.00211126696053645,0.00400537503370344,0.00144772591579642,"26420/18053/170770/12028/12122/12048/11783/18952/26419/12211/12369/11798/12370/51800/12125/12371/66593/21937/14082/12367/11796/56208/12043/11797/12018/13063/64704",27
"mmu04670","mmu04670","Leukocyte transendothelial migration","85/5355","118/9045",0.00244977428559977,0.00462116512965412,0.00167030064927257,"17390/20315/17906/12737/22324/16414/17698/21838/242653/67268/12562/13058/14677/16409/11465/14679/60363/19353/69524/59310/13057/12540/12387/11848/22325/109711/17969/18803/17395/19878/18613/22330/223864/14083/29857/19877/16412/54354/17970/16401/18706/22329/18710/19303/11461/22323/17907/16408/18709/12927/83964/74769/14678/19354/57257/12388/234779/67938/11855/171486/15894/12385/16456/18707/12741/18708/19247/12767/56508/18750/22350/215449/18751/67374/19094/26416/60595/20469/232906/19229/216033/98932/17356/109905/18752",85
"mmu04720","mmu04720","Long-term potentiation","51/5355","67/9045",0.00272931599502081,0.00511939497371136,0.00185038372543784,"12288/110157/11836/12313/109880/20111/19047/26395/18749/18747/19046/12315/432530/19056/12325/19057/223864/58200/12914/20112/12322/14682/18797/15461/18176/19055/16438/16653/16439/110651/75600/80796/19058/26396/12314/18798/19045/11911/16440/18750/18795/215449/18751/108058/328572/12323/26417/26413/109905/18752/434233",51
"mmu05160","mmu05160","Hepatitis C","115/5355","165/9045",0.00319039883644697,0.00595063153764266,0.00215083067625638,"54123/12737/13649/242653/110157/11836/11651/60363/22259/16391/109880/54131/12028/20848/11652/16151/12122/26395/27103/12567/12387/51792/19053/20181/13557/54401/22629/242705/23797/11783/56480/19052/58185/22627/18035/13665/22031/19766/71978/19645/22631/16341/17869/19013/56637/15975/15976/12575/17858/19106/20662/14102/19697/12015/12675/12566/15461/12370/12633/20846/22030/22034/18706/18176/13645/18033/16451/18710/12371/23961/15467/16653/21937/14082/16150/12367/142980/13666/18709/71609/73699/54721/16835/56469/74769/246728/15957/20663/15945/26396/228607/12520/20778/18707/20847/12571/230073/12741/18708/52432/56489/106759/22628/246730/12702/12018/22059/14784/26417/26413/13063/24014/12443/22630/19192",115
"mmu04723","mmu04723","Retrograde endocannabinoid signaling","104/5355","148/9045",0.00326537325275329,0.00605644647996699,0.00218907704095193,"16519/23945/14677/26420/12288/14679/66108/53623/69875/68198/18749/18747/68349/11515/226646/17991/54405/66414/75406/432530/104111/210044/407785/17993/26419/104110/66218/67130/29857/68194/224129/11512/68202/14409/14695/78330/72900/14682/18797/67264/66082/227197/66495/67273/12292/68375/14696/66046/14408/595136/14403/14688/17992/14693/16438/16439/68197/70316/104130/14404/11513/14681/14697/14678/66066/66916/12286/66091/269060/67184/14701/66377/17995/14700/14710/231871/18798/68342/407790/66416/16440/14702/242864/14708/18750/18795/18751/19094/26416/225887/26417/26413/17716/17717/17718/17719/17721/17722/17720/14707/230075/14704/18752/100041273",104
"mmu04929","mmu04929","GnRH secretion","48/5355","63/9045",0.00349558004871588,0.00644740320096485,0.00233038669914392,"239556/16519/20750/12288/110157/140493/11651/84036/11652/26395/109689/23797/15166/12291/58226/54393/14682/18797/15461/12292/18706/18176/18710/16438/16653/16439/18709/74769/22063/14672/26396/114229/18707/18798/18708/16440/18750/18795/18751/76854/16534/140492/216869/26417/26413/18752/16514/16866",48
"mmu04664","mmu04664","Fc epsilon RI signaling pathway","50/5355","66/9045",0.00356292627517507,0.00653531228374654,0.00236216106641441,"18783/22324/14127/26420/110157/11651/19353/26400/11652/14389/26395/22325/18803/170758/26397/23797/14360/26399/20963/26419/29857/18607/20662/15461/11689/16331/18706/18176/18710/16653/18709/74769/19354/26398/57257/234779/20663/26396/18707/18708/17096/329502/18750/19094/26416/14784/11690/26417/26413/211429",50
"mmu04971","mmu04971","Gastric acid secretion","56/5355","75/9045",0.00366000619501513,0.00667649481728034,0.00241319089781217,"14677/11465/11932/14679/12313/18749/18747/11515/98660/27222/16535/67821/12315/432530/104111/210044/12325/104110/107589/224129/11512/12322/14682/18797/110895/11931/228785/14683/12349/20544/20535/11461/16438/16439/11513/75600/11933/14678/11928/80796/15466/12314/16526/18798/16518/16440/238564/12671/18750/18795/22350/18751/108058/12323/16516/18752",56
"mmu05167","mmu05167","Kaposi sarcoma-associated herpesvirus infection","152/5355","224/9045",0.00427927141404649,0.00776348693695866,0.00280607961576819,"12266/54123/14281/15007/16476/26420/110157/18591/21414/12313/11651/19353/16391/26400/54131/12028/20848/11652/16151/12122/26395/12567/12387/22190/14991/13557/17164/18803/242705/12315/22187/23797/15979/56480/78294/30955/26399/320207/18035/15251/22031/20963/16195/19056/26419/19057/19645/17869/12914/29857/67841/56637/54720/15975/15976/12575/73181/14695/22339/19106/14102/16452/19697/21416/12675/15461/12912/12370/20846/22030/18019/66734/20779/18706/14696/18176/19055/18033/16451/18710/12371/56717/14688/14693/16438/16653/16439/21937/14082/11601/16150/12367/142980/67443/18709/71609/18021/54721/14697/75600/74769/66066/18018/26398/225326/80796/19058/234779/26396/56208/15015/14701/12314/14173/15894/100504663/14700/14710/277360/18707/20847/12571/18708/17096/56489/16440/14702/22695/104709/106759/14708/19094/26416/15042/328572/21415/15039/12018/22059/15018/14972/26417/26413/13063/15040/14707/12443/14704/110557/14964/15024/22186",152
"mmu00604","mmu00604","Glycosphingolipid biosynthesis - ganglio series","14/5355","15/9045",0.00433796713909456,0.00782720157706193,0.00282910900375732,"14421/20442/15212/15211/225742/50935/11416/20444/26938/12091/20447/20454/54218/20448",14
"mmu00670","mmu00670","One carbon pool by folate","17/5355","19/9045",0.00447258760477483,0.00802648153937969,0.00290113790579989,"17768/216188/20425/108156/238505/13361/14450/108037/108147/17769/665563/107747/434437/270685/69606/107885/100039707",17
"mmu04660","mmu04660","T cell receptor signaling pathway","74/5355","103/9045",0.0050744574392973,0.00905763370885324,0.00327384350922406,"14281/22324/15170/16476/26420/208650/110157/11651/26400/11652/16151/26395/12503/12540/12567/11848/22325/18803/23797/14360/53859/18035/19056/26419/19057/29857/13383/224105/56637/18037/18607/26410/20662/19697/12675/15461/12487/22637/19264/18761/18019/18706/18176/19055/18033/12042/26409/18710/21682/16653/18036/70584/18479/16150/18709/18021/12501/74769/17973/240354/18018/57257/19058/20663/26396/108723/18707/18708/19094/26416/14784/26417/26413/17974",74
"mmu05140","mmu05140","Leishmaniasis","52/5355","70/9045",0.0060105046729663,0.0106710564247316,0.00385700834628853,"12266/14281/15170/16476/16414/13058/18126/16409/21803/13057/13712/68652/17969/13628/12946/15979/18035/21809/66513/29857/15980/16452/19697/16412/20846/17970/16401/22034/16159/24088/18033/26409/16451/18036/16179/17874/14960/15000/14998/13627/21898/21808/18751/19094/26416/14131/266632/14969/26417/26413/14961/14999",52
"mmu04964","mmu04964","Proximal tubule bicarbonate reclamation","19/5355","22/9045",0.00612951713595236,0.0108244664315754,0.00391245774635257,"54403/11932/12351/11826/98660/27222/76257/67821/17449/14661/27376/14660/11931/18534/12349/11933/11928/74551/11936",19
"mmu04925","mmu04925","Aldosterone synthesis and secretion","73/5355","102/9045",0.00626012324275798,0.0109966186063262,0.00397468142397332,"26427/239556/12288/11932/12313/18760/16890/18749/18747/11515/98660/27222/12915/67821/12315/67972/432530/104111/12291/210044/12325/104110/224129/11512/11908/15370/75292/58226/12322/14682/18797/12912/12292/381290/11931/18227/11909/14683/18160/12913/16438/52163/16439/320707/20845/11513/11606/16835/75600/11933/11928/80796/14672/269060/12314/20778/208647/231871/18798/101540/11911/16440/18754/11607/109305/18750/18795/18751/231991/108058/12323/18752/207728",73
"mmu00270","mmu00270","Cysteine and methionine metabolism","41/5355","54/9045",0.00754738012234855,0.0131880536874722,0.00476676639306224,"12116/11720/12583/13433/67873/20810/56369/17448/17449/104923/13435/238505/107272/14718/13436/269378/14854/229709/14630/107869/67870/74340/16832/12036/14719/14629/70266/229905/108645/210808/22117/11615/236539/232087/66902/16828/100041585/20603/246221/14204/11702",41
"mmu04730","mmu04730","Long-term depression","45/5355","60/9045",0.0077050085222852,0.0133929991067994,0.00484084305065039,"18783/14677/14679/14673/110157/11836/53623/109880/26395/16001/51792/19053/16000/19052/14674/14682/18797/15461/14683/18176/54195/18125/16438/16653/16439/20190/14681/73699/14678/60596/12286/14672/26396/18798/17096/16440/329502/18750/18795/18751/19091/26417/26413/18752/211429",45
"mmu04713","mmu04713","Circadian entrainment","70/5355","98/9045",0.00791394149321091,0.0136845238320105,0.00494621343325682,"18627/239556/14281/16519/14677/12288/14679/12313/53623/18749/18747/11515/12315/432530/104111/12291/18626/73086/20191/210044/12325/104110/224129/11512/14695/58226/12322/14682/18797/12912/14683/14696/54195/18628/14688/18125/14693/11517/16438/20190/11513/14681/14697/75600/14678/66066/80796/60596/14701/12314/70729/14700/14710/18798/16440/14702/14708/19416/18750/18795/18751/19091/108058/20192/12323/26417/26413/14707/14704/18752",70
"mmu03440","mmu03440","Homologous recombination","32/5355","41/9045",0.00888001695074346,0.0152754695732996,0.00552125406263842,"68275/21975/68240/19364/20962/19360/18972/74335/21976/69745/71711/20184/19361/27354/19366/19891/57434/381760/19365/12144/67967/210766/68251/17535/235559/11920/70681/18971/12190/225182/20422/107976",32
"mmu04917","mmu04917","Prolactin signaling pathway","54/5355","74/9045",0.00948290953225163,0.0162284843541626,0.00586571723644431,"216233/14281/12700/103988/26420/12444/110157/11651/20848/20850/11652/26395/16362/23797/13982/216148/20851/26419/29857/56637/20662/16452/19697/15461/20846/21934/20779/18706/18176/18033/18710/16653/18709/74769/20663/26396/271849/14430/56468/192157/18707/18708/20416/67296/56484/12702/19094/26416/54607/14784/26417/26413/12443/16866",54
"mmu04658","mmu04658","Th1 and Th2 cell differentiation","63/5355","88/9045",0.0105766655580387,0.0180074511039429,0.00650871726648537,"18131/14281/16476/26420/57765/20852/16450/20850/16151/12503/13388/18803/16162/15979/20851/18035/19056/26419/19057/29857/15980/18037/16452/19697/12675/20846/22637/16184/18761/18128/16449/54485/18019/16159/18129/19055/18033/16451/18036/16190/16186/16150/16453/18021/270118/12501/54721/18018/19058/14960/15000/14998/19664/103806/19094/26416/17132/14969/433586/26417/26413/14961/14999",63
"mmu04064","mmu04064","NF-kappa B signaling pathway","74/5355","105/9045",0.0107812927326579,0.0181694882601138,0.00656728491329416,"13197/20315/16177/16803/217069/19698/16151/59004/12048/170720/22196/17873/68652/18803/21929/53859/18035/22031/19766/23882/20963/18792/66513/13001/19697/12675/18034/11798/12633/22637/21934/11545/22033/18761/22030/22034/22329/18033/12042/26409/111173/17000/21937/16179/24099/16150/71609/11796/117149/17874/240354/105844/11920/234779/245527/66724/108723/74256/15894/21898/230073/17096/13000/106759/12475/18751/12043/11797/13607/266632/17060/100504346/12995/18829",74
"mmu04659","mmu04659","Th17 cell differentiation","74/5355","105/9045",0.0107812927326579,0.0181694882601138,0.00656728491329416,"14281/12394/16177/11622/16476/26420/57765/20852/21803/20848/20850/16151/12503/21812/20183/20181/18803/15979/20851/18035/15251/15519/16364/16195/19056/26419/19057/16180/29857/15980/15516/18037/17128/17126/16452/19697/12675/20846/22637/16184/18761/18019/16194/19885/19055/18033/16451/56717/18036/16190/16186/16150/16453/18021/12501/54721/19883/17127/21813/18018/19058/14960/15000/14998/19401/20371/20182/19094/26416/14969/26417/26413/14961/14999",74
"mmu03450","mmu03450","Non-homologous end-joining","12/5355","13/9045",0.0108899478341504,0.0182599125299895,0.00659996838433357,"19360/54125/108138/14375/19090/14156/56626/75570/22596/227525/17535/319583",12
"mmu01230","mmu01230","Biosynthesis of amino acids","57/5355","79/9045",0.0114031319178689,0.0190243205865954,0.00687626045298628,"21881/11720/110639/11898/230163/76282/56421/15929/13807/12974/18648/71776/18641/56012/20425/238505/11429/66194/109652/21991/107272/18563/56454/209027/14718/108037/21351/109900/15926/66646/14645/69051/170718/107869/11428/100678/27053/269951/11674/12036/19139/14719/108682/67834/18746/18642/108645/236539/19895/232087/14433/433182/353204/13808/18655/13806/328099",57
"mmu04915","mmu04915","Estrogen signaling pathway","92/5355","134/9045",0.0146395810775656,0.0243017045887588,0.00878374864653934,"17390/26427/14281/16668/18753/13649/16519/16476/14677/14679/110157/12313/20683/11651/11652/26395/18749/18747/11515/17978/15482/13033/12915/15481/17395/12315/23797/16661/13982/22027/216148/432530/17977/104111/15519/210044/104110/55960/224129/11512/15516/14229/20662/54393/15200/14682/18797/15461/12912/11909/14683/20779/18706/17979/18176/12913/18710/18127/21802/16438/16653/16439/14228/11513/14681/18709/75600/74769/14678/80796/20663/26396/271849/12314/19401/208647/18707/18798/18708/11911/20416/16440/18795/231991/76854/12043/14784/15512/26417/26413/15511/193740",92
"mmu04960","mmu04960","Aldosterone-regulated sodium reabsorption","29/5355","38/9045",0.0210693984881824,0.0348011955128186,0.012578745366079,"20393/11932/65962/16337/98660/27222/67821/16000/18607/83814/11931/18706/18710/16653/110784/18709/11933/74769/11928/18707/18708/55948/18750/18751/16367/11936/26417/26413/18752",29
"mmu00760","mmu00760","Nicotinate and nicotinamide metabolism","31/5355","41/9045",0.0213265017029665,0.0350514780464597,0.0126692089324553,"69564/64383/209558/93759/59027/50773/68646/223646/67993/76952/209011/18115/64384/66454/192185/12494/75387/67375/78914/18113/23959/74080/103850/50721/18605/225994/68346/230718/11761/71724/18950",31
"mmu05134","mmu05134","Legionellosis","44/5355","61/9045",0.0249196306888493,0.0407552580724038,0.0147308161707484,"12266/16414/16409/15482/94044/15481/13628/12946/56422/11783/20224/19324/12750/66397/18035/15499/76308/19697/12369/18034/12362/15510/12370/12747/16159/20333/24088/18033/269523/12371/12367/17874/13627/21898/11840/12475/15512/11841/13063/67160/12176/53791/15511/193740",44
"mmu04145","mmu04145","Phagosome","121/5355","182/9045",0.0251253196758547,0.0408902261391361,0.0147795998093263,"12266/50909/21825/12845/21826/22142/15007/170779/14130/16414/67951/13058/12491/73710/13040/16409/226421/11465/17534/16402/19344/22154/27060/19353/12317/66144/11966/13057/17113/11972/16398/11974/17969/14991/16784/271457/13424/54411/19345/11973/11975/53331/12330/16416/73834/13039/21828/66335/22042/16419/22143/11984/21355/66237/15239/16412/57743/18711/22145/17970/17533/13427/16410/20333/24088/21827/100226/22319/71116/18125/11461/53421/53857/12721/16783/170786/235661/114143/225326/108664/234663/15015/140792/216238/14960/227613/21354/15000/14998/20778/21871/280408/21898/66290/76252/22146/110350/12475/21899/69142/11964/66212/15042/18779/15039/22151/14131/15018/14969/14972/22153/69165/15040/110557/14964/14961/20335/70192/19349/15024/14999",121
"mmu04020","mmu04020","Calcium signaling pathway","157/5355","240/9045",0.0267570313515635,0.0432021339641589,0.0156152291436719,"239556/18596/11555/13649/14573/19713/18595/18126/12288/11938/14177/18591/12313/233011/94178/18749/14186/18747/11515/94045/12372/22335/17295/215999/18799/11740/18803/21925/13867/12315/19216/76757/67972/54140/11540/14257/22333/432530/104111/53313/12291/72469/12062/20191/210044/22334/19056/12325/105675/14180/19057/13618/104110/18574/18440/107589/22339/58226/14680/12322/14682/14675/15566/18797/22340/74055/18682/18590/18802/12292/381290/14178/11550/228785/14683/12373/13645/54635/19220/19055/65973/18127/12494/18125/18439/18438/14254/16438/52163/16439/20190/11937/68961/20866/110094/320707/14205/22341/14182/80857/13617/11739/11513/71785/75600/19882/252972/80796/19058/18679/234779/12286/14672/15466/12314/14164/102093/14173/15464/18821/320404/116873/269717/18798/19218/16440/269999/238564/12767/11549/12671/14062/233979/18430/11607/109305/18750/18795/58861/18751/108058/14184/20541/18212/19204/56632/20192/12323/18213/18573/19229/20698/13866/16542/18752/110893/21924",157
"mmu00920","mmu00920","Sulfur metabolism","10/5355","11/9045",0.0268061433633034,0.0432021339641589,0.0156152291436719,"59010/23972/23827/23971/22117/211389/66071/242291/20341/246221",10
"mmu04911","mmu04911","Insulin secretion","60/5355","86/9045",0.0277102529979808,0.0444434975619788,0.0160639147814381,"26427/103988/12288/11932/140493/84036/18749/18747/11515/98660/27222/20907/12915/67821/432530/104111/22318/20191/210044/12325/104110/224129/11512/12322/14682/18797/12912/12292/11931/11909/14683/12913/20525/11517/11513/19339/11933/11928/14672/68667/208647/18798/20927/11911/16440/12671/56508/18750/18795/18751/231991/108058/16534/140492/12323/11936/26875/16531/18752/16514",60
"mmu05164","mmu05164","Influenza A","115/5355","173/9045",0.0286521131159782,0.0457331805505037,0.0165300652592182,"54123/12445/18815/11465/217069/110157/11651/16391/54131/16650/12028/11652/16151/12122/53869/26395/81489/12567/53319/11740/16647/23797/11783/15979/56480/103573/22333/58185/18035/13665/22031/21933/100037258/12265/12914/16646/15980/15975/15976/17858/19106/100503895/14102/16452/77125/19697/12675/12362/12370/20846/71586/66679/18706/16159/56417/18033/16451/18710/12371/11461/23961/54188/21937/18036/14082/16150/12367/11739/142980/18709/71609/270151/54721/74769/17874/246728/17229/15945/26396/14960/18854/56488/15894/228607/15000/14998/21898/22035/18707/20847/12571/230073/232989/18708/237082/56489/170743/106759/18750/246730/18751/12702/328572/12018/110196/266632/14969/26417/26413/269966/13063/24014/14961/19326/14999",115
